Scenario,Workbook,Sheet,Col,TemplateField,Class,ClassMeaning,Target,Note
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,20,COUNTRY,A,CL_MD_BP_MAINTAIN,ADDRESS-POSTAL-DATA-COUNTRY,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,21,REGION,A,CL_MD_BP_MAINTAIN,ADDRESS-POSTAL-DATA-REGION,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,22,LANGU,A,CL_MD_BP_MAINTAIN,ADDRESS-POSTAL-DATA-LANGU,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,23,TEL_NUMBER,A,CL_MD_BP_MAINTAIN,ADDRESS-COMMUNICATION-PHONE-PHONE[]-TELEPHONE,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,24,TEL_EXTENS,A,CL_MD_BP_MAINTAIN,ADDRESS-COMMUNICATION-PHONE-PHONE[]-EXTENSION,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,25,TEL_NUMBER2,A,CL_MD_BP_MAINTAIN,ADDRESS-COMMUNICATION-PHONE-PHONE[]-TELEPHONE (2nd),
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,26,TEL_EXTENS2,A,CL_MD_BP_MAINTAIN,ADDRESS-COMMUNICATION-PHONE-PHONE[]-EXTENSION (2nd),
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,27,MOB_NUMBER,A,CL_MD_BP_MAINTAIN,ADDRESS-COMMUNICATION-PHONE-PHONE[] R_3_USER=3,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,28,MOB_NUMBER2,A,CL_MD_BP_MAINTAIN,ADDRESS-COMMUNICATION-PHONE-PHONE[] R_3_USER=3 (2nd),
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,29,FAX_NUMBER,A,CL_MD_BP_MAINTAIN,ADDRESS-COMMUNICATION-FAX-FAX[]-FAX,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,30,SMTP_ADDR,A,CL_MD_BP_MAINTAIN,ADDRESS-COMMUNICATION-SMTP-SMTP[]-E_MAIL,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,31,SMTP_ADDR2,A,CL_MD_BP_MAINTAIN,ADDRESS-COMMUNICATION-SMTP-SMTP[]-E_MAIL (2nd),
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,32,KUNNR,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-KUNNR,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,33,VBUND,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-VBUND,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,34,KONZS,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-KONZS,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,35,STCD3,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-STCD3,GSTIN; single write - IN3 NOT configured in this system
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,36,STCD5,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-STCD5,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,37,STCEG,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-STCEG,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,38,J_1KFTBUS,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-J_1KFTBUS,Argentina field; likely unused
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,39,STENR,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-STENR,likely unused
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,40,BRSCH,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-BRSCH + PARTNER INDUSTRYSECTOR,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,41,BANKS_01,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-BANKDETAIL-BANKDETAILS[]-BANKS,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,42,BANKL_01,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-BANKDETAIL-BANKDETAILS[]-BANKL,pre-check BNKA
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,43,BANKN_01,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-BANKDETAIL-BANKDETAILS[]-BANKN,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,44,KOINH_01,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-BANKDETAIL-BANKDETAILS[]-KOINH,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,45,BKONT,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-BANKDETAIL-BANKDETAILS[]-BKONT,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,46,IBAN,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-BANKDETAIL-BANKDETAILS[]-IBAN,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,47,AKONT,A,CL_MD_BP_MAINTAIN,COMPANY[]-DATA-AKONT,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,48,FDGRV,A,CL_MD_BP_MAINTAIN,COMPANY[]-DATA-FDGRV,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,49,ALTKN,A,CL_MD_BP_MAINTAIN,COMPANY[]-DATA-ALTKN,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,50,ZTERM,A,CL_MD_BP_MAINTAIN,COMPANY[]-DATA-ZTERM,CC level
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,51,REPRF,A,CL_MD_BP_MAINTAIN,COMPANY[]-DATA-REPRF,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,52,ZWELS,A,CL_MD_BP_MAINTAIN,COMPANY[]-DATA-ZWELS,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,53,ZAHLS,A,CL_MD_BP_MAINTAIN,COMPANY[]-DATA-ZAHLS,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,54,HBKID,A,CL_MD_BP_MAINTAIN,COMPANY[]-DATA-HBKID,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,55,VEN_CLASS,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-VEN_CLASS,CONFIRMED in LFA1 + CVI structure
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,56,J_1ISSIST,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-J_1ISSIST,CONFIRMED in LFA1 + CVI structure
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,57,J_1IPANNO,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-J_1IPANNO,CONFIRMED; no BP tax category needed (no IN3 in this system)
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,58,QLAND,A,CL_MD_BP_MAINTAIN,COMPANY[]-DATA-QLAND,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,59,WITHT,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA_KEY-WITHT,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,60,WT_WITHCD,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_WITHCD,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,61,WAERS,A,CL_MD_BP_MAINTAIN,PURCHASING[]-DATA-WAERS,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,62,ZTERM,A,CL_MD_BP_MAINTAIN,PURCHASING[]-DATA-ZTERM,POrg level - same tech name as col 50
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,63,KALSK,A,CL_MD_BP_MAINTAIN,PURCHASING[]-DATA-KALSK,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,64,WEBRE,A,CL_MD_BP_MAINTAIN,PURCHASING[]-DATA-WEBRE,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,65,INCO1,A,CL_MD_BP_MAINTAIN,PURCHASING[]-DATA-INCO1,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,66,INCO2,A,CL_MD_BP_MAINTAIN,PURCHASING[]-DATA-INCO2,
2 Vendor Extend,Vendor Extend Template.Ver1.xlsx,Vendor Extend,2,LIFNR,A,CL_MD_BP_MAINTAIN,VENDOR-HEADER-OBJECT_INSTANCE-LIFNR,target
2 Vendor Extend,Vendor Extend Template.Ver1.xlsx,Vendor Extend,3,BUKRS,A,CL_MD_BP_MAINTAIN,COMPANY[]-DATA_KEY-BUKRS,target
2 Vendor Extend,Vendor Extend Template.Ver1.xlsx,Vendor Extend,4,EKORG,A,CL_MD_BP_MAINTAIN,PURCHASING[]-DATA_KEY-EKORG,target
2 Vendor Extend,Vendor Extend Template.Ver1.xlsx,Vendor Extend,5,LIFNR,A,CL_MD_BP_MAINTAIN,(read source),"reference vendor - drives a read, not a write"
2 Vendor Extend,Vendor Extend Template.Ver1.xlsx,Vendor Extend,6,BUKRS,A,CL_MD_BP_MAINTAIN,(read source),reference CC
2 Vendor Extend,Vendor Extend Template.Ver1.xlsx,Vendor Extend,7,EKORG,A,CL_MD_BP_MAINTAIN,(read source),reference POrg
2 Vendor Extend,Vendor Extend Template.Ver1.xlsx,Vendor Extend,8,<no tech name>,D,ignored (artifact),-,"""Always X"" - LSMW artifact, ignored"
2 Vendor Extend,Vendor Extend Template.Ver1.xlsx,Vendor Extend,9,AKONT,A,CL_MD_BP_MAINTAIN,COMPANY[]-DATA-AKONT,
2 Vendor Extend,Vendor Extend Template.Ver1.xlsx,Vendor Extend,10,<no tech name>,A,CL_MD_BP_MAINTAIN,COMPANY[]-DATA-ZWELS,"tech name MISSING in template; inferred from description ""Payment Method"""
2 Vendor Extend,Vendor Extend Template.Ver1.xlsx,Vendor Extend,11,<no tech name>,A,CL_MD_BP_MAINTAIN,COMPANY[]-DATA-REPRF,"tech name MISSING in template; inferred from ""Chk double Invoice"""
2 Vendor Extend,Vendor Extend Template.Ver1.xlsx,Vendor Extend,12,WAERS,A,CL_MD_BP_MAINTAIN,PURCHASING[]-DATA-WAERS,
2 Vendor Extend,Vendor Extend Template.Ver1.xlsx,Vendor Extend,13,KALSK,A,CL_MD_BP_MAINTAIN,PURCHASING[]-DATA-KALSK,
2 Vendor Extend,Vendor Extend Template.Ver1.xlsx,Vendor Extend,14,WEBRE,A,CL_MD_BP_MAINTAIN,PURCHASING[]-DATA-WEBRE,
4 Vendor Bank Details,Bank Details and Bank Key Template_V1.0.xlsx,Bank Details,2,LIFNR,A,CL_MD_BP_MAINTAIN,VENDOR-HEADER-OBJECT_INSTANCE-LIFNR,key
4 Vendor Bank Details,Bank Details and Bank Key Template_V1.0.xlsx,Bank Details,3,BUKRS,A,CL_MD_BP_MAINTAIN,(authorisation check only),LFBK is client-level
4 Vendor Bank Details,Bank Details and Bank Key Template_V1.0.xlsx,Bank Details,4,BANKS,A,CL_MD_BP_MAINTAIN,CENTRAL_DATA-BANKDETAIL-BANKDETAILS[]-BANKS,
4 Vendor Bank Details,Bank Details and Bank Key Template_V1.0.xlsx,Bank Details,5,BANKL,A,CL_MD_BP_MAINTAIN,CENTRAL_DATA-BANKDETAIL-BANKDETAILS[]-BANKL,
4 Vendor Bank Details,Bank Details and Bank Key Template_V1.0.xlsx,Bank Details,6,BANKN,A,CL_MD_BP_MAINTAIN,CENTRAL_DATA-BANKDETAIL-BANKDETAILS[]-BANKN,
4 Vendor Bank Details,Bank Details and Bank Key Template_V1.0.xlsx,Bank Details,7,KOINH,A,CL_MD_BP_MAINTAIN,CENTRAL_DATA-BANKDETAIL-BANKDETAILS[]-KOINH,
4 Vendor Bank Details,Bank Details and Bank Key Template_V1.0.xlsx,Bank Details,8,IBAN,A,CL_MD_BP_MAINTAIN,CENTRAL_DATA-BANKDETAIL-BANKDETAILS[]-IBAN,API contract is GROSS: unlisted banks are DELETED - must read+merge
3 Bank Key (BNKA),Bank Details and Bank Key Template_V1.0.xlsx,Bank Key,2,BANKS,B,BAPI_BANK_*,BAPI_BANK_CREATE BANK_CTRY,
3 Bank Key (BNKA),Bank Details and Bank Key Template_V1.0.xlsx,Bank Key,3,BANKL,B,BAPI_BANK_*,BAPI_BANK_CREATE BANK_KEY,
3 Bank Key (BNKA),Bank Details and Bank Key Template_V1.0.xlsx,Bank Key,4,BANKA,B,BAPI_BANK_*,BANK_ADDRESS-BANK_NAME,
3 Bank Key (BNKA),Bank Details and Bank Key Template_V1.0.xlsx,Bank Key,5,PROVZ,B,BAPI_BANK_*,BANK_ADDRESS-REGION,
3 Bank Key (BNKA),Bank Details and Bank Key Template_V1.0.xlsx,Bank Key,6,STRAS,B,BAPI_BANK_*,BANK_ADDRESS-STREET,
3 Bank Key (BNKA),Bank Details and Bank Key Template_V1.0.xlsx,Bank Key,7,ORT01,B,BAPI_BANK_*,BANK_ADDRESS-CITY,
3 Bank Key (BNKA),Bank Details and Bank Key Template_V1.0.xlsx,Bank Key,8,BRNCH,B,BAPI_BANK_*,BANK_ADDRESS-BANK_BRANCH,
3 Bank Key (BNKA),Bank Details and Bank Key Template_V1.0.xlsx,Bank Key,9,SWIFT,B,BAPI_BANK_*,BANK_ADDRESS-SWIFT_CODE,
3 Bank Key (BNKA),Bank key format_Uploadable File.xlsx,Sheet1,2,BANKS,B,BAPI_BANK_*,BAPI_BANK_CREATE BANK_CTRY,
3 Bank Key (BNKA),Bank key format_Uploadable File.xlsx,Sheet1,3,BANKL,B,BAPI_BANK_*,BAPI_BANK_CREATE BANK_KEY,
3 Bank Key (BNKA),Bank key format_Uploadable File.xlsx,Sheet1,4,BANKA,B,BAPI_BANK_*,BANK_ADDRESS-BANK_NAME,
3 Bank Key (BNKA),Bank key format_Uploadable File.xlsx,Sheet1,5,PROVZ,B,BAPI_BANK_*,BANK_ADDRESS-REGION,
3 Bank Key (BNKA),Bank key format_Uploadable File.xlsx,Sheet1,6,STRAS,B,BAPI_BANK_*,BANK_ADDRESS-STREET,
3 Bank Key (BNKA),Bank key format_Uploadable File.xlsx,Sheet1,7,ORT01,B,BAPI_BANK_*,BANK_ADDRESS-CITY,
3 Bank Key (BNKA),Bank key format_Uploadable File.xlsx,Sheet1,8,BRNCH,B,BAPI_BANK_*,BANK_ADDRESS-BANK_BRANCH,
3 Bank Key (BNKA),Bank key format_Uploadable File.xlsx,Sheet1,9,SWIFT,B,BAPI_BANK_*,BANK_ADDRESS-SWIFT_CODE,
3 Bank Key (BNKA),Bank key format_Uploadable File.xlsx,Sheet1,10,BNKLZ,B,BAPI_BANK_*,BANK_ADDRESS-BANK_NO,template says keep blank
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,2,LIFNR,A,CL_MD_BP_MAINTAIN,VENDOR-HEADER-OBJECT_INSTANCE-LIFNR,key
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,3,BUKRS,A,CL_MD_BP_MAINTAIN,COMPANY[]-DATA_KEY-BUKRS,key
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,4,D0610,D,ignored (artifact),-,XK02 screen flag - ignored
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,5,QLAND,A,CL_MD_BP_MAINTAIN,COMPANY[]-DATA-QLAND,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,6,WITHT_01,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA_KEY-WITHT,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,7,WITHT_02,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA_KEY-WITHT,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,8,WITHT_03,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA_KEY-WITHT,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,9,WITHT_04,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA_KEY-WITHT,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,10,WITHT_05,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA_KEY-WITHT,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,11,WITHT_06,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA_KEY-WITHT,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,12,WT_WITHCD_01,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_WITHCD,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,13,WT_WITHCD_02,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_WITHCD,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,14,WT_WITHCD_03,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_WITHCD,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,15,WT_WITHCD_04,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_WITHCD,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,16,WT_WITHCD_05,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_WITHCD,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,17,WT_WITHCD_06,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_WITHCD,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,18,WT_SUBJCT_01,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_SUBJCT,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,19,WT_SUBJCT_02,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_SUBJCT,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,20,WT_SUBJCT_03,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_SUBJCT,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,21,WT_SUBJCT_04,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_SUBJCT,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,22,WT_SUBJCT_05,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_SUBJCT,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,23,WT_SUBJCT_06,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_SUBJCT,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,24,QSREC_01,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-QSREC,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,25,QSREC_02,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-QSREC,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,26,QSREC_03,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-QSREC,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,27,QSREC_04,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-QSREC,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,28,QSREC_05,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-QSREC,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,29,QSREC_06,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-QSREC,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,30,WT_WTSTCD_01,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_WTSTCD,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,31,WT_WTSTCD_02,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_WTSTCD,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,32,WT_WTSTCD_03,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_WTSTCD,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,33,WT_WTSTCD_04,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_WTSTCD,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,34,WT_WTSTCD_05,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_WTSTCD,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,35,WT_WTSTCD_06,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_WTSTCD,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,36,WT_EXNR_01,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXNR,
5 Withholding Tax / TDS,TDS for upload Format_V.01.xlsx,Sheet1,37,WT_EXNR_02,A,CL_MD_BP_MAINTAIN,COMPANY[]-WTAX_TYPE-WTAX_TYPE[]-DATA-WT_EXNR,
